#Data tag : online , Norm tag: composite
+-------------+-------------------+------+------------------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                                  | delivered(/pb) | recorded(/pb) |
| 258703:4479 | 10/10/15 09:48:30 | 475  | HLT_Dimuon0_Jpsi_Muon_v2                 | 42.128         | 40.926        |
| 258705:4479 | 10/10/15 13:01:34 | 100  | HLT_Dimuon0_Jpsi_Muon_v2                 | 8.451          | 8.216         |
| 258706:4479 | 10/10/15 13:44:18 | 733  | HLT_Dimuon0_Jpsi_Muon_v2                 | 57.585         | 56.093        |
| 258712:4479 | 10/10/15 18:36:26 | 524  | HLT_Dimuon0_Jpsi_Muon_v2                 | 37.898         | 36.912        |
| 258713:4479 | 10/10/15 22:03:19 | 161  | HLT_Dimuon0_Jpsi_Muon_v2                 | 11.128         | 10.869        |
| 258714:4479 | 10/10/15 23:06:33 | 67   | HLT_Dimuon0_Jpsi_Muon_v2                 | 4.571          | 4.463         |
| 258741:4485 | 10/11/15 15:12:30 | 51   | HLT_Dimuon0_Jpsi_Muon_v2                 | 5.309          | 4.899         |
| 258742:4485 | 10/11/15 15:37:24 | 692  | HLT_Dimuon0_Jpsi_Muon_v2                 | 67.530         | 65.373        |
| 258745:4485 | 10/11/15 20:12:22 | 260  | HLT_Dimuon0_Jpsi_Muon_v2                 | 23.504         | 22.816        |
| 258749:4485 | 10/11/15 22:08:51 | 604  | HLT_Dimuon0_Jpsi_Muon_v2                 | 50.462         | 49.264        |
| 258750:4485 | 10/12/15 02:08:14 | 197  | HLT_Dimuon0_Jpsi_Muon_v2                 | 15.670         | 15.311        |
| 259626:4518 | 10/20/15 04:22:04 | 353  | HLT_Dimuon0_Jpsi_Muon_v2                 | 11.396         | 11.258        |
| 259637:4519 | 10/20/15 11:55:23 | 221  | HLT_Dimuon0_Jpsi_Muon_v2                 | 16.168         | 15.773        |
| 259681:4522 | 10/21/15 02:10:07 | 35   | HLT_Dimuon0_Jpsi_Muon_v2                 | 3.522          | 2.006         |
| 259682:4522 | 10/21/15 02:45:58 | 4    | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.393          | 0.243         |
| 259683:4522 | 10/21/15 02:50:56 | 90   | HLT_Dimuon0_Jpsi_Muon_v2                 | 8.275          | 7.914         |
| 259685:4522 | 10/21/15 03:31:12 | 625  | HLT_Dimuon0_Jpsi_Muon_v2                 | 57.725         | 56.013        |
| 259686:4522 | 10/21/15 07:40:55 | 336  | HLT_Dimuon0_Jpsi_Muon_v2                 | 28.167         | 27.371        |
| 259721:4525 | 10/21/15 21:49:33 | 336  | HLT_Dimuon0_Jpsi_Muon_v2                 | 12.850         | 12.483        |
| 259809:4528 | 10/23/15 01:19:55 | 170  | HLT_Dimuon0_Jpsi_Muon_v2                 | 14.952         | 14.370        |
| 259810:4528 | 10/23/15 02:27:57 | 116  | HLT_Dimuon0_Jpsi_Muon_v2                 | 10.344         | 10.075        |
| 259811:4528 | 10/23/15 03:14:40 | 91   | HLT_Dimuon0_Jpsi_Muon_v2                 | 7.966          | 7.640         |
| 259813:4528 | 10/23/15 03:55:28 | 10   | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.866          | 0.746         |
| 259817:4528 | 10/23/15 04:12:46 | 5    | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.430          | 0.363         |
| 259818:4528 | 10/23/15 04:16:25 | 160  | HLT_Dimuon0_Jpsi_Muon_v2                 | 13.594         | 13.212        |
